City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
163,Berdigestyakh,RU,2021-11-09 12:03:06,62.0989,126.6992,27.46,97,100,6.96
164,Yellowknife,CA,2021-11-09 12:01:15,62.456,-114.3525,20.41,94,57,5.99
165,Cabo San Lucas,MX,2021-11-09 11:58:24,22.8909,-109.9124,80.51,52,99,8.63
166,Saint-Pierre,RE,2021-11-09 12:03:06,-21.3393,55.4781,82.08,65,0,18.41
167,Olavarria,AR,2021-11-09 12:03:07,-36.8927,-60.3225,58.01,81,92,11.39
168,La Ronge,CA,2021-11-09 12:03:07,55.1001,-105.2842,25.54,79,6,8.05
169,Sistranda,NO,2021-11-09 12:03:07,63.7256,8.834,48.9,81,89,25.57
170,Bowen,AU,2021-11-09 12:03:08,-20.0167,148.2333,79.9,82,100,8.84
171,Lima,PE,2021-11-09 12:00:43,-12.0432,-77.0282,63.9,85,91,5.64
172,Anaconda,US,2021-11-09 12:03:08,46.1285,-112.9423,25.77,53,82,5.61
173,Coihaique,CL,2021-11-09 12:01:02,-45.5752,-72.0662,58.98,58,1,2.1
174,Hithadhoo,MV,2021-11-09 12:03:08,-0.6,73.0833,83.17,74,84,18.03
175,Pucara,PE,2021-11-09 12:03:09,-15.9803,-71.4606,39.87,11,100,2.84
176,El Dorado,US,2021-11-09 12:03:09,38.7666,-120.5177,52.79,97,100,1.99
177,Bethanien,NA,2021-11-09 12:03:10,-26.502,17.1583,81.91,11,23,11.7
178,Hilo,US,2021-11-09 11:58:18,19.7297,-155.09,79.29,81,82,3.0
179,Pevek,RU,2021-11-09 12:03:10,69.7008,170.3133,0.99,95,86,3.85
180,Meulaboh,ID,2021-11-09 12:03:10,4.1363,96.1285,79.34,80,82,4.52
181,Ilebo,CD,2021-11-09 12:03:11,-4.3167,20.5833,99.64,30,95,2.15
182,Busselton,AU,2021-11-09 12:02:55,-33.65,115.3333,58.08,60,30,9.78
183,Taybad,IR,2021-11-09 12:03:12,34.74,60.7756,56.86,25,0,7.05
184,Soria,ES,2021-11-09 12:03:12,41.6667,-2.6667,51.85,33,15,8.19
185,Victor Harbor,AU,2021-11-09 12:03:12,-35.5667,138.6167,59.09,78,100,1.01
186,Saint-Francois,FR,2021-11-09 12:03:13,46.4154,3.9054,47.68,93,75,4.61
187,Sibolga,ID,2021-11-09 12:04:13,1.7427,98.7792,78.48,85,19,2.57
188,Pangnirtung,CA,2021-11-09 12:04:14,66.1451,-65.7125,2.25,73,17,6.17
189,Kamenka,RU,2021-11-09 12:04:14,51.3223,42.7678,41.81,54,74,15.68
190,Yumen,CN,2021-11-09 12:04:14,40.2833,97.2,21.16,55,90,7.18
